sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
159,null,-0.103311,0.341206,0,-0.734221,0.445919,0,0.159133,0.145687,0,-0.106760,0.336543,0,-0.080026,400,156
160,null,0.078209,0.437294,0,0.688835,0.454451,0,0.070467,0.201998,0,0.071764,0.484560,0,-0.072813,400,155
161,null,-0.102880,0.307484,0,-0.431571,0.660456,0,0.096748,0.175353,0,-0.108703,0.287074,0,-0.053284,400,151
162,null,-0.159276,0.101532,0,-1.772440,0.070608,0,0.252612,0.012896,1,-0.154845,0.115542,0,-0.065698,400,140
163,null,-0.178127,0.067597,0,-0.976956,0.323989,0,0.050085,0.363743,0,-0.183275,0.062403,0,-0.055843,400,138
164,null,0.056975,0.570138,0,0.732950,0.438424,0,0.043267,0.703032,0,0.061677,0.547188,0,-0.079295,400,150
165,null,0.086048,0.396085,0,0.777679,0.417696,0,0.237587,0.047503,1,0.083970,0.415898,0,-0.078305,400,150
166,null,0.030514,0.748057,0,0.886399,0.335253,0,0.109685,0.337329,0,0.027390,0.777227,0,-0.090944,400,128
167,null,-0.181459,0.074609,0,0.159556,0.877343,0,0.071008,0.172858,0,-0.195424,0.056910,0,-0.043593,400,134
168,null,0.043925,0.652667,0,0.868633,0.371862,0,0.036392,0.473059,0,0.038547,0.696305,0,-0.052728,400,137
169,null,0.049387,0.623789,0,0.279109,0.768944,0,0.191221,0.157235,0,0.046979,0.646626,0,-0.073038,400,138
170,null,-0.012488,0.905801,0,-1.608155,0.111518,0,0.039862,0.470209,0,-0.005695,0.957516,0,-0.059679,400,149
171,null,0.074958,0.447067,0,0.974112,0.291100,0,0.090238,0.152227,0,0.073574,0.465858,0,-0.083513,400,143
172,null,0.040838,0.678214,0,0.103927,0.914508,0,0.070807,0.350566,0,0.041270,0.677647,0,-0.045363,400,161
173,null,0.141673,0.145756,0,1.185919,0.210988,0,0.184879,0.035429,1,0.140654,0.153259,0,-0.067428,400,142
174,null,0.065399,0.502373,0,0.751214,0.428951,0,0.175893,0.217186,0,0.060120,0.544653,0,-0.067011,400,141
175,null,0.066681,0.530338,0,0.180389,0.855549,0,0.121923,0.185795,0,0.070472,0.513818,0,-0.060057,400,156
176,null,-0.025611,0.804314,0,-0.384098,0.708532,0,0.011465,0.891703,0,-0.028966,0.782222,0,-0.070928,400,132
177,null,0.064997,0.530690,0,0.464380,0.633804,0,0.028238,0.617814,0,0.062603,0.556767,0,-0.083464,400,136
178,null,0.024282,0.817121,0,0.142935,0.885111,0,0.117194,0.211607,0,0.023522,0.824966,0,-0.060418,400,147
179,null,0.014961,0.884796,0,-0.523790,0.594171,0,0.057797,0.290087,0,0.016762,0.872589,0,-0.055233,400,151
180,null,-0.123538,0.248107,0,-1.093824,0.270552,0,0.075997,0.184005,0,-0.130473,0.231589,0,-0.075165,400,159
181,null,-0.018775,0.863273,0,-0.003079,0.997700,0,0.146922,0.226481,0,-0.022196,0.840809,0,-0.064197,400,143
182,null,-0.093051,0.388915,0,-1.049947,0.313462,0,0.091985,0.280620,0,-0.092233,0.398687,0,-0.059600,400,142
183,null,0.070139,0.473665,0,0.072749,0.937482,0,0.049365,0.392628,0,0.074377,0.456291,0,-0.070012,400,133
184,null,-0.238688,0.016424,1,-1.581093,0.093176,0,-0.042167,0.583222,0,-0.250937,0.013504,1,-0.084085,400,151
185,null,0.110552,0.294993,0,0.714510,0.470277,0,0.154052,0.006040,1,0.108981,0.311347,0,-0.065838,400,160
186,null,0.176262,0.075350,0,1.864626,0.055771,0,0.110282,0.324739,0,0.170400,0.090363,0,-0.068218,400,135
187,null,0.102045,0.347049,0,-0.058269,0.956295,0,0.069101,0.490445,0,0.100382,0.359333,0,-0.059033,400,138
188,null,0.122455,0.240917,0,0.632264,0.517969,0,0.077356,0.403580,0,0.122939,0.247532,0,-0.071398,400,140
189,null,0.077601,0.428645,0,0.606362,0.528114,0,0.018664,0.789546,0,0.072256,0.467207,0,-0.066443,400,134
190,null,0.165230,0.118653,0,1.658751,0.094193,0,0.063397,0.431713,0,0.157864,0.143345,0,-0.071466,400,147
191,null,-0.070048,0.456783,0,-0.297565,0.745125,0,0.009147,0.888562,0,-0.072874,0.445518,0,-0.067810,400,154
192,null,-0.110359,0.274194,0,0.047513,0.961001,0,0.110045,0.320978,0,-0.122039,0.233009,0,-0.070307,400,142
193,null,0.041969,0.663749,0,1.191363,0.189785,0,0.079656,0.302575,0,0.030484,0.756650,0,-0.073857,400,135
194,null,-0.100362,0.351026,0,-1.111297,0.275094,0,0.156927,0.160877,0,-0.104622,0.335414,0,-0.046132,400,163
195,null,0.038094,0.720940,0,1.187796,0.236633,0,0.112318,0.347957,0,0.027238,0.800991,0,-0.066111,400,155
196,null,-0.128683,0.204506,0,-1.434449,0.131552,0,0.040913,0.463927,0,-0.131116,0.204325,0,-0.068400,400,153
197,null,-0.095833,0.351908,0,-0.207649,0.832215,0,0.023015,0.692636,0,-0.102543,0.325328,0,-0.065147,400,165
198,null,-0.125899,0.196047,0,-0.804416,0.400603,0,0.031960,0.651064,0,-0.133300,0.175794,0,-0.055870,400,156
199,null,-0.120976,0.245947,0,-0.863552,0.377903,0,0.081859,0.269951,0,-0.124631,0.241442,0,-0.078186,400,149
200,null,-0.053033,0.603400,0,-0.657439,0.486510,0,0.060156,0.618047,0,-0.057790,0.580375,0,-0.084310,400,147
